First Cup,Win your first Copa Life career,False,,Revealed,5,1
Career Complete,Complete a Copa Life career,False,,Revealed,10,2
Unbeaten Champion,Win the cup without losing a match,False,,Revealed,20,3
Low Budget Champion,Win the cup while finishing with a non-negative budget,False,,Revealed,15,4
Three Nations,Win careers with three different countries,True,3,Revealed,15,5
Formation Lab,Unlock five formations,True,5,Revealed,10,6
World Top 100,Reach the Copa Life world top 100,False,,Revealed,20,7
Five Careers,Complete five careers,True,5,Revealed,20,8
All Chairmen,Play with all chairman types,True,6,Revealed,15,9
First Victory,Win your first match,False,,Revealed,5,10
